City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hanzhong,33.0728,107.0303,54.0,70,84.0,2.06,CN,1680033101.0
Machakos,-1.5167,37.2667,69.75,90,100.0,2.35,KE,1680033102.0
Busselton,-33.65,115.3333,55.06,78,64.0,11.63,AU,1680032934.0
Saint Paul Harbor,57.79,-152.4072,36.91,75,0.0,4.61,US,1680033102.0
Bicester,51.9,-1.1536,47.14,91,100.0,13.8,GB,1680033102.0
Muros,42.7762,-9.0603,56.12,74,31.0,7.05,ES,1680033102.0
Butaritari,3.0707,172.7902,81.45,80,29.0,14.36,KI,1680033102.0
Cuamba,-14.8031,36.5372,66.81,97,69.0,3.78,MZ,1680033102.0
Upernavik,72.7868,-56.1549,-14.49,91,34.0,8.5,GL,1680033103.0
Mataura,-46.1927,168.8643,44.47,80,49.0,1.32,NZ,1680033103.0
Avarua,-21.2078,-159.775,80.65,89,75.0,9.22,CK,1680033103.0
Thompson,55.7435,-97.8558,8.76,56,100.0,9.22,CA,1680033103.0
Albert Lea,43.648,-93.3683,39.96,48,0.0,12.66,US,1680033092.0
Narsaq,60.9167,-46.05,27.61,70,23.0,4.07,GL,1680033103.0
Castro,-24.7911,-50.0119,71.8,83,38.0,2.44,BR,1680033065.0
Vallenar,-28.5708,-70.7581,84.2,37,0.0,9.22,CL,1680033104.0
Morondava,-20.2833,44.2833,78.28,62,99.0,12.39,MG,1680033043.0
Saskylakh,71.9167,114.0833,-18.71,96,92.0,7.67,RU,1680033104.0
Constitución,-35.3333,-72.4167,65.14,77,35.0,11.7,CL,1680032967.0
Albany,42.6001,-73.9662,49.59,46,23.0,3.0,US,1680033104.0
Punta Arenas,-53.15,-70.9167,44.71,57,40.0,17.27,CL,1680032955.0
Ushuaia,-54.8,-68.3,38.86,70,40.0,18.41,AR,1680032926.0
Tasiilaq,65.6145,-37.6368,3.79,78,0.0,3.0,GL,1680033105.0
East London,-33.0153,27.9116,70.23,77,67.0,6.38,ZA,1680033105.0
Barrow,71.2906,-156.7887,1.42,85,0.0,12.66,US,1680033105.0
Mahibadhoo,3.7833,72.9667,81.99,72,84.0,0.29,MV,1680033105.0
Hasaki,35.7333,140.8333,48.22,75,78.0,13.24,JP,1680033105.0
Jamestown,42.097,-79.2353,46.53,53,75.0,11.5,US,1680033085.0
Souillac,-20.5167,57.5167,75.58,83,20.0,1.14,MU,1680033105.0
Rikitea,-23.1203,-134.9692,80.19,75,100.0,11.77,PF,1680033106.0
Panzhihua,26.5851,101.7128,55.51,83,15.0,1.39,CN,1680033106.0
Hermanus,-34.4187,19.2345,60.8,84,100.0,11.79,ZA,1680033003.0
Piaçabuçu,-10.4056,-36.4344,80.49,75,11.0,10.4,BR,1680033106.0
Hobyo,5.3505,48.5268,82.74,75,34.0,13.78,SO,1680033106.0
Leningradskiy,69.3833,178.4167,1.17,81,0.0,7.38,RU,1680032979.0
Cape Town,-33.9258,18.4232,64.09,81,100.0,8.99,ZA,1680032882.0
Dukat,62.55,155.55,-5.64,88,4.0,7.65,RU,1680033107.0
Vaini,-21.2,-175.2,77.16,94,20.0,1.14,TO,1680032927.0
Tomatlán,19.9333,-105.25,88.66,40,0.0,12.64,MX,1680033107.0
Mildura,-34.2,142.15,60.08,92,0.0,13.91,AU,1680033107.0
Puerto Ayora,-0.7393,-90.3518,87.76,86,57.0,5.99,EC,1680033071.0
Qaanaaq,77.484,-69.3632,-8.27,70,90.0,4.56,GL,1680032942.0
Pathein,16.7833,94.7333,72.7,88,11.0,6.85,MM,1680033107.0
Geraldton,-28.7667,114.6,73.81,64,73.0,12.66,AU,1680033108.0
Liwale,-9.7667,37.9333,69.35,99,100.0,4.61,TZ,1680033108.0
Marawi,7.9986,124.2928,69.13,98,100.0,1.32,PH,1680033049.0
Tulun,54.5611,100.5792,34.47,93,100.0,6.11,RU,1680033108.0
Nanning,22.8167,108.3167,57.65,90,100.0,4.47,CN,1680033108.0
Laguna,38.421,-121.4238,52.07,84,100.0,18.41,US,1680032837.0
Belmonte,-15.8631,-38.8828,80.53,72,13.0,7.94,BR,1680033108.0
Waingapu,-9.6567,120.2641,77.29,85,100.0,5.06,ID,1680033109.0
Tateyama,34.9833,139.8667,51.87,81,86.0,15.08,JP,1680033109.0
Atuona,-9.8,-139.0333,80.82,76,32.0,14.36,PF,1680033109.0
Plainview,40.7765,-73.4673,52.75,55,100.0,9.22,US,1680032924.0
Hithadhoo,-0.6,73.0833,82.69,74,100.0,3.6,MV,1680033109.0
Olinda,-8.0089,-34.8553,83.93,65,20.0,12.66,BR,1680033110.0
Deputatsky,69.3,139.9,-18.72,98,75.0,7.58,RU,1680033110.0
Coolum Beach,-26.5333,153.1,71.11,93,92.0,6.24,AU,1680033110.0
Macaé,-22.3708,-41.7869,82.15,74,100.0,5.75,BR,1680033110.0
Pevek,69.7008,170.3133,0.64,80,13.0,17.36,RU,1680033110.0
Dhidhdhoo,6.8833,73.1,81.73,74,35.0,3.69,MV,1680033110.0
Gribanovskiy,51.4579,41.9764,48.9,61,100.0,13.69,RU,1680033111.0
Louis Trichardt,-23.0439,29.9032,59.38,76,0.0,3.74,ZA,1680033111.0
Swan Hill,-35.3378,143.5544,60.8,90,83.0,4.7,AU,1680033111.0
Arraial do Cabo,-22.9661,-42.0278,80.56,78,75.0,8.05,BR,1680032912.0
Thinadhoo,0.5333,72.9333,82.27,76,90.0,2.66,MV,1680033111.0
Vestmannaeyjar,63.4427,-20.2734,35.26,69,100.0,25.59,IS,1680033111.0
Port Alfred,-33.5906,26.891,65.86,75,100.0,18.23,ZA,1680032923.0
New Norfolk,-42.7826,147.0587,55.9,91,79.0,2.53,AU,1680033112.0
Vanimo,-2.6741,141.3028,76.91,86,100.0,2.48,PG,1680033112.0
Palkovice,49.6347,18.3151,34.12,77,75.0,4.61,CZ,1680033112.0
Fort Nelson,58.8053,-122.7002,42.94,35,75.0,5.75,CA,1680033112.0
Koungou,-12.7336,45.2042,80.31,89,0.0,2.3,YT,1680033112.0
Carutapera,-1.195,-46.02,78.44,90,81.0,5.91,BR,1680033112.0
Mahébourg,-20.4081,57.7,75.49,83,20.0,1.14,MU,1680033113.0
Bluff,-46.6,168.3333,44.8,65,94.0,8.63,NZ,1680032931.0
Longyearbyen,78.2186,15.6401,-5.08,97,78.0,3.38,SJ,1680033113.0
Port Keats,-14.25,129.55,76.32,82,97.0,4.59,AU,1680032952.0
Fortuna,40.5982,-124.1573,48.54,92,99.0,12.12,US,1680033113.0
Tuktoyaktuk,69.4541,-133.0374,19.4,93,100.0,5.75,CA,1680032946.0
Xai-Xai,-25.0519,33.6442,65.98,77,0.0,7.14,MZ,1680033113.0
Road Town,18.4167,-64.6167,84.29,69,40.0,10.36,VG,1680033023.0
Lebu,-37.6167,-73.65,59.04,65,4.0,9.08,CL,1680033114.0
Balad,34.0164,44.1453,66.34,49,0.0,2.08,IQ,1680033114.0
Kawalu,-7.3817,108.2082,72.7,96,100.0,1.3,ID,1680033114.0
Ponta do Sol,32.6667,-17.1,75.13,18,83.0,4.41,PT,1680032999.0
Florø,61.5996,5.0328,33.76,80,40.0,8.05,NO,1680033115.0
Kapaa,22.0752,-159.319,77.32,83,75.0,12.66,US,1680033109.0
Bereda,43.2686,-7.5406,54.01,79,93.0,2.77,ES,1680033115.0
Chokurdakh,70.6333,147.9167,6.33,92,100.0,19.71,RU,1680033115.0
Katsuura,35.1333,140.3,52.25,83,87.0,11.43,JP,1680033115.0
Faya,18.3851,42.4509,59.52,56,95.0,1.41,SA,1680033115.0
Vadsø,70.0744,29.7487,22.08,79,0.0,13.8,NO,1680033116.0
Hilo,19.7297,-155.09,79.29,76,0.0,11.5,US,1680033116.0
Māgadi,12.9667,77.2333,76.93,60,30.0,7.78,IN,1680033116.0
Khatanga,71.9667,102.5,-9.36,96,100.0,13.0,RU,1680033116.0
Port Hedland,-20.3167,118.5667,80.65,89,65.0,0.0,AU,1680033117.0
Vangaindrano,-23.35,47.6,70.68,73,86.0,8.01,MG,1680033117.0
The Valley,18.217,-63.0578,84.06,65,40.0,12.66,AI,1680033035.0
Hobart,-42.8794,147.3294,56.26,98,20.0,8.05,AU,1680033117.0
Lorengau,-2.0226,147.2712,79.45,79,23.0,1.95,PG,1680033117.0
Beloha,-25.1667,45.05,63.97,68,0.0,5.32,MG,1680033118.0
Banjarmasin,-3.3244,114.591,75.34,97,100.0,2.42,ID,1680032828.0
Lipari,38.4674,14.954,57.2,39,17.0,11.05,IT,1680033118.0
Iqaluit,63.7506,-68.5145,15.53,78,100.0,11.5,CA,1680033118.0
Sittwe,20.15,92.9,76.86,88,71.0,6.51,MM,1680033119.0
Uni,57.7535,51.4923,30.38,81,100.0,10.2,RU,1680033119.0
Turukhansk,65.8167,87.9833,-1.73,91,100.0,6.11,RU,1680033119.0
Kupang,-10.1667,123.5833,76.46,86,100.0,3.38,ID,1680033119.0
Korla,41.7597,86.1469,53.31,22,12.0,3.76,CN,1680033119.0
Lincoln,40.8,-96.667,51.15,41,0.0,16.11,US,1680032929.0
Ambon City,-3.6954,128.1814,75.34,94,40.0,4.61,ID,1680033120.0
Channel-Port aux Basques,47.5702,-59.1367,34.11,86,100.0,6.85,CA,1680033120.0
Katherine,-14.4667,132.2667,71.92,83,89.0,0.0,AU,1680033120.0
Paraná,-31.732,-60.5238,89.55,51,0.0,8.12,AR,1680033104.0
Chui,-33.6971,-53.4616,77.76,46,21.0,7.74,UY,1680033120.0
Rāzole,16.4833,81.8333,77.31,85,24.0,4.05,IN,1680033120.0
Salalah,17.0151,54.0924,79.79,83,89.0,7.58,OM,1680033120.0
Teknāf,20.8624,92.3058,74.98,91,34.0,3.44,BD,1680033121.0
Kalmunai,7.4167,81.8167,76.39,79,34.0,3.22,LK,1680033121.0
Kristiansund,63.1115,7.732,32.65,40,0.0,11.5,NO,1680033121.0
Tiksi,71.6872,128.8694,-13.02,97,94.0,11.72,RU,1680032969.0
Takoradze,4.8845,-1.7554,81.66,81,18.0,9.24,GH,1680032959.0
Kiryat Gat,31.61,34.7642,69.4,39,0.0,4.14,IL,1680033122.0
Tuatapere,-46.1333,167.6833,40.51,77,25.0,4.43,NZ,1680033034.0
São José da Coroa Grande,-8.8978,-35.1478,80.69,77,8.0,9.48,BR,1680033123.0
Oxapampa,-10.5775,-75.4017,72.05,58,96.0,4.79,PE,1680033123.0
Manhumirim,-20.3578,-41.9581,72.82,93,100.0,2.33,BR,1680033123.0
Poum,-20.2333,164.0167,79.09,77,92.0,15.19,NC,1680033124.0
Codrington,-38.2667,141.9667,55.15,85,39.0,8.12,AU,1680032984.0
Ostrovnoy,68.0531,39.5131,9.52,94,76.0,9.26,RU,1680033056.0
Bandarbeyla,9.4942,50.8122,80.91,78,3.0,7.11,SO,1680033125.0
Talnakh,69.4865,88.3972,-15.05,98,100.0,7.05,RU,1680033125.0
Arlit,18.7369,7.3853,79.3,8,0.0,9.33,NE,1680033126.0
Dingle,10.9995,122.6711,75.18,91,100.0,7.11,PH,1680032997.0
Jumla,29.2747,82.1838,40.82,81,14.0,4.5,NP,1680033126.0
Ronse,50.7505,3.6049,46.65,71,100.0,10.87,BE,1680033126.0
Thunder Bay,48.4001,-89.3168,26.58,28,75.0,10.36,CA,1680033080.0
Comodoro Rivadavia,-45.8667,-67.5,60.66,23,0.0,17.27,AR,1680033127.0
Malé,4.1748,73.5089,82.35,89,40.0,3.44,MV,1680033106.0
Vila Franca do Campo,37.7167,-25.4333,59.41,91,100.0,21.97,PT,1680033127.0
Kutum,14.2,24.6667,72.91,18,56.0,9.17,SD,1680033128.0
Goderich,43.7501,-81.7165,39.52,75,89.0,5.75,CA,1680033128.0
Nikolskoye,59.7035,30.7861,33.78,98,100.0,5.75,RU,1680032993.0
Bredasdorp,-34.5322,20.0403,62.29,81,59.0,9.78,ZA,1680033067.0
Itarema,-2.9248,-39.9167,79.63,82,94.0,7.63,BR,1680033129.0
Clyde River,70.4692,-68.5914,-7.37,77,75.0,0.0,CA,1680033129.0
Esperance,-33.8667,121.9,59.49,86,57.0,6.64,AU,1680033037.0
Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,54,75.0,8.95,RU,1680033129.0
Mandalgovi,45.7625,106.2708,34.92,32,5.0,4.65,MN,1680033130.0
Bengkulu,-3.8004,102.2655,76.01,90,99.0,5.64,ID,1680033130.0
Carnarvon,-24.8667,113.6333,75.22,71,97.0,5.01,AU,1680033002.0
Pisco,-13.7,-76.2167,80.65,69,0.0,11.5,PE,1680033130.0
Nanortalik,60.1432,-45.2371,31.32,78,15.0,5.28,GL,1680032999.0
Igbo-Ora,7.4333,3.2833,82.18,68,90.0,9.6,NG,1680033131.0
Bethel,41.3712,-73.414,51.03,45,100.0,11.5,US,1680033000.0
Yulara,-25.2406,130.9889,70.45,70,98.0,10.11,AU,1680033132.0
Tambacounda,13.7539,-13.7586,102.25,10,0.0,2.3,SN,1680033132.0
Moose Factory,51.2585,-80.6094,23.0,63,0.0,14.97,CA,1680033132.0
Lovozero,68.005,35.0117,7.05,89,14.0,6.06,RU,1680033132.0
Gimli,50.6336,-96.9907,17.62,49,100.0,8.05,CA,1680033133.0
Lompoc,34.6391,-120.4579,67.78,60,75.0,5.75,US,1680033133.0
Dunedin,-45.8742,170.5036,45.81,74,100.0,5.99,NZ,1680033133.0
Provideniya,64.3833,-173.3,23.31,96,100.0,5.57,RU,1680033133.0
Kununurra,-15.7667,128.7333,73.38,88,100.0,2.3,AU,1680033134.0
New Ulm,44.3125,-94.4605,38.43,70,0.0,12.66,US,1680032602.0
Byron Bay,-28.65,153.6167,68.7,84,100.0,4.92,AU,1680033134.0
Poção de Pedras,-4.6667,-44.85,81.86,88,73.0,2.71,BR,1680033134.0
Sirte,31.2089,16.5887,61.16,69,0.0,13.82,LY,1680033135.0
Opuwo,-18.0607,13.84,69.22,73,99.0,1.57,NA,1680033135.0
Lubango,-14.9172,13.4925,62.46,100,100.0,3.44,AO,1680033136.0
Oulu,65.0124,25.4682,23.22,81,100.0,11.5,FI,1680033136.0
Lensk,60.7253,114.9278,17.92,95,100.0,7.43,RU,1680033136.0
Bariloche,-41.1456,-71.3082,53.35,40,40.0,28.77,AR,1680033137.0
Kumul,42.8,93.45,54.39,17,5.0,7.0,CN,1680033137.0
Kolondiéba,11.0882,-6.8926,90.32,33,100.0,5.37,ML,1680033138.0
Kaitangata,-46.2817,169.8464,42.55,71,100.0,1.21,NZ,1680032955.0
Torbay,47.6666,-52.7314,35.28,86,100.0,17.27,CA,1680033139.0
Soroti,1.7146,33.6111,66.27,91,99.0,3.24,UG,1680033139.0
Ancud,-41.8697,-73.8203,51.21,89,100.0,22.64,CL,1680033139.0
Quatre Cocos,-20.2078,57.7625,75.31,80,41.0,7.07,MU,1680033139.0
Erdenet,49.0333,104.0833,33.91,46,30.0,3.89,MN,1680033140.0
Dinghaicun,26.2847,119.7936,54.52,78,100.0,11.95,CN,1680033140.0
Āsosa,10.0667,34.5333,72.57,21,62.0,3.96,ET,1680033141.0
Ahipara,-35.1667,173.1667,62.35,58,30.0,11.5,NZ,1680033141.0
Fukuechō,32.6881,128.8419,56.88,54,99.0,10.2,JP,1680032992.0
Port-Cartier,50.0334,-66.8654,35.74,93,100.0,2.59,CA,1680033141.0
Lavrentiya,65.5833,-171.0,21.92,95,100.0,10.8,RU,1680033142.0
Umm Kaddadah,13.6017,26.6876,74.43,14,24.0,11.5,SD,1680033142.0
Leh,34.1667,77.5833,16.81,74,95.0,2.37,IN,1680033143.0
Dongsheng,39.8161,109.9776,39.63,21,13.0,1.34,CN,1680033144.0
Puebla,18.8333,-98.0,84.18,25,0.0,9.1,MX,1680033010.0
Kavaratti,10.5669,72.642,80.78,72,14.0,5.68,IN,1680033144.0
Atar,20.5169,-13.0499,89.26,7,3.0,9.82,MR,1680033144.0
Saint-Philippe,-21.3585,55.7679,74.79,69,100.0,4.21,RE,1680033145.0
Jaisalmer,26.9147,70.9181,78.96,34,1.0,17.83,IN,1680033145.0
Richards Bay,-28.783,32.0377,70.14,64,4.0,15.46,ZA,1680033146.0
Nyurba,63.2842,118.3319,1.67,92,99.0,8.55,RU,1680033146.0
Itapetinga,-15.2489,-40.2478,86.63,40,99.0,9.17,BR,1680033147.0
Flinders,-34.5833,150.8552,67.17,90,90.0,3.0,AU,1680033147.0
Båtsfjord,70.6345,29.7185,28.33,100,75.0,2.3,NO,1680033147.0
Ribeira Grande,38.5167,-28.7,59.4,77,40.0,18.99,PT,1680033147.0
Tandil,-37.3217,-59.1332,85.32,37,89.0,13.09,AR,1680033148.0
Rafai,4.95,23.9167,74.05,72,94.0,1.95,CF,1680033148.0
Sakata,38.9167,139.855,39.52,66,1.0,3.09,JP,1680033149.0
Houndé,11.5,-3.5167,88.86,38,81.0,7.25,BF,1680033149.0
Mar del Plata,-38.0023,-57.5575,84.94,48,0.0,19.57,AR,1680032941.0
Touros,-5.1989,-35.4608,79.74,78,96.0,8.08,BR,1680033150.0
Pak Phanang,8.3511,100.202,80.1,79,79.0,3.78,TH,1680033150.0
Kaeo,-35.1,173.7833,57.33,92,55.0,7.78,NZ,1680033150.0
Burns Lake,54.2331,-125.7533,38.62,74,12.0,1.28,CA,1680033151.0
Chipinge,-20.1883,32.6236,57.51,92,51.0,3.02,ZW,1680033151.0
Hindupur,13.8289,77.4933,80.38,58,55.0,12.97,IN,1680033151.0
Mount Gambier,-37.8333,140.7667,52.25,91,27.0,4.12,AU,1680032932.0
Naliya,23.2667,68.8333,73.69,70,0.0,9.33,IN,1680033152.0
Severo-Kuril'sk,50.6789,156.125,28.71,79,56.0,12.75,RU,1680032964.0
Lucapa,-8.4192,20.7447,66.56,95,100.0,0.69,AO,1680033152.0
Yellowknife,62.456,-114.3525,7.32,78,100.0,11.5,CA,1680033142.0
Yabēlo,4.8833,38.0833,63.0,72,54.0,8.3,ET,1680033153.0
Ulaanbaatar,47.9077,106.8832,23.13,74,0.0,0.0,MN,1680033153.0
Port Hardy,50.6996,-127.4199,46.58,76,20.0,6.91,CA,1680033072.0
Digha,21.6833,87.55,78.62,88,4.0,12.1,IN,1680033154.0
Dikson,73.5069,80.5464,-11.54,96,100.0,12.86,RU,1680032937.0
Acajutla,13.5928,-89.8275,86.94,58,0.0,9.71,SV,1680033155.0
Pingliang,35.5392,106.6861,46.02,56,43.0,2.46,CN,1680033156.0
Broken Hill,-31.95,141.4333,60.82,74,4.0,10.56,AU,1680033156.0
Puerto Palomas,31.7667,-107.6167,60.6,19,0.0,17.0,MX,1680033157.0
Necochea,-38.5473,-58.7368,79.75,54,94.0,7.43,AR,1680033157.0
Balikpapan,-1.2675,116.8289,77.99,94,20.0,5.75,ID,1680033157.0
Ilulissat,69.2167,-51.1,-6.09,90,3.0,0.78,GL,1680033158.0
Ocós,14.5094,-92.1933,85.87,61,1.0,13.4,GT,1680033158.0
Sakaiminato,35.55,133.2333,39.18,93,20.0,3.44,JP,1680033158.0
Matara,5.9485,80.5353,77.04,89,29.0,3.8,LK,1680033159.0
Lagoa,39.05,-27.9833,58.84,76,1.0,36.53,PT,1680032983.0
Sioux Lookout,50.1001,-91.917,15.87,38,75.0,6.91,CA,1680033103.0
Chifeng,42.2683,118.9636,42.24,37,12.0,7.09,CN,1680033159.0
Qaqortoq,60.7167,-46.0333,30.18,70,15.0,5.06,GL,1680033159.0
Chinar,42.108,48.1432,51.57,73,96.0,6.87,RU,1680033160.0
Nur-Sultan,51.1801,71.446,30.15,93,0.0,2.24,KZ,1680033160.0
Manavālakurichi,8.1333,77.3,80.04,79,69.0,3.33,IN,1680033160.0
Saint George,37.1041,-113.5841,62.26,15,0.0,14.97,US,1680032998.0
Ikalamavony,-21.15,46.5833,69.37,85,100.0,7.02,MG,1680033160.0
Oktyabr'skiy,54.4815,53.471,39.7,83,98.0,11.34,RU,1680033160.0
Biak,-0.9131,122.8766,75.11,87,100.0,5.66,ID,1680033161.0
Hamilton,39.1834,-84.5333,52.95,50,100.0,9.22,US,1680033113.0
Kinablangan,7.6947,126.5503,76.91,87,74.0,6.24,PH,1680033161.0
Eldama Ravine,0.0516,35.7308,58.21,83,73.0,1.45,KE,1680033161.0
Labuhan,-6.8844,112.2051,78.19,85,100.0,4.88,ID,1680033161.0
Ulladulla,-35.35,150.4667,63.77,90,73.0,5.86,AU,1680033161.0
Muroto-misakicho,33.2833,134.15,56.14,57,85.0,8.25,JP,1680033161.0
Santa Cruz de la Sierra,-17.8,-63.1667,87.85,58,40.0,19.57,BO,1680033006.0
Alihe,50.5667,123.7167,29.44,85,28.0,4.76,CN,1680033162.0
Lufilufi,-13.8745,-171.5986,78.58,72,100.0,8.9,WS,1680033162.0
Pangody,65.85,74.4859,7.99,96,100.0,4.68,RU,1680033162.0
Jardim,-21.4803,-56.1381,88.74,55,14.0,4.05,BR,1680033162.0
Norman Wells,65.282,-126.8329,35.64,69,75.0,19.57,CA,1680033163.0
Nome,64.5011,-165.4064,12.27,85,100.0,13.8,US,1680032926.0
Kargasok,59.0556,80.8572,39.09,92,93.0,13.51,RU,1680033163.0
Kalabo,-14.97,22.6814,73.0,71,100.0,5.03,ZM,1680033163.0
Yar-Sale,66.8333,70.8333,-12.69,100,68.0,6.71,RU,1680033163.0
Bambous Virieux,-20.3428,57.7575,75.45,83,20.0,1.14,MU,1680033163.0
Guadalupe y Calvo,26.1,-106.9667,69.24,8,100.0,10.83,MX,1680033164.0
Morgan City,29.6994,-91.2068,75.99,83,100.0,11.23,US,1680033164.0
Rafaela,-31.2503,-61.4867,88.99,35,0.0,4.0,AR,1680033014.0
Seoul,37.5683,126.9778,38.8,87,20.0,3.44,KR,1680032995.0
Manta,-0.95,-80.7333,85.78,70,20.0,6.91,EC,1680033164.0
Irbeyskoye,55.6428,95.4522,39.85,81,100.0,10.65,RU,1680033165.0
Sabang,5.8933,95.3214,82.13,74,99.0,2.28,ID,1680033165.0
Cabo San Lucas,22.8909,-109.9124,85.3,57,80.0,5.01,MX,1680033001.0
Kodinsk,58.6881,99.1844,26.78,98,100.0,4.16,RU,1680033165.0
Nichinan,31.6,131.3667,47.88,62,91.0,3.8,JP,1680033165.0
Northam,51.0333,-4.2167,53.38,97,100.0,9.31,GB,1680033165.0
Madera,37.1666,-119.8343,61.86,47,100.0,12.48,US,1680033165.0
Mehamn,71.0357,27.8492,28.31,86,40.0,3.44,NO,1680033166.0
Nānākuli,21.3906,-158.1547,82.35,80,0.0,11.5,US,1680033166.0
Ovalle,-30.5983,-71.2003,83.53,40,0.0,6.82,CL,1680032921.0
Samdari,25.8167,72.5833,78.24,28,10.0,7.18,IN,1680033166.0
Camabatela,-8.1881,15.375,63.1,99,100.0,3.06,AO,1680033167.0
Kuril'sk,45.2333,147.8833,32.07,68,6.0,4.23,RU,1680033167.0
Athens,37.9795,23.7162,48.24,74,75.0,8.01,GR,1680033075.0
